"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val","distr.fit.class"
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_entered_Mgha","gammaLL",152,0.038,2.057,0.228,0.111,0.022,0.003,0.127,0.003,0.019,"Good"
"tree_loading_Mgha","gammaLL",152,0.038,2.057,0.228,0.111,0.022,0.003,0.125,0.003,0.019,"Good"
"snag_loading_Mgha","lnormLL",132,0.169,2.223,0.107,0.048,1.246,0.076,0.061,0.259,0.005,"Excellent"
"shrub_loading_Mgha","gammaLL",177,0.048,2.042,0.206,0.101,1.016,0.116,0.114,0.003,0.013,"Good"
"herb_loading_Mgha","gammaLL",320,0.009,0.998,0.07,0.07,2.021,0.181,0.09,0.053,0.008,"Excellent"
"herb_percentlive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1hr_loading_Mgha","gammaLL",630,0.026,1.597,0.083,0.052,3.583,0.218,0.061,0.118,0.007,"Excellent"
"X10hr_loading_Mgha","lnormLL",816,0.02,0.552,0.033,0.061,0.958,0.024,0.025,0.051,0.007,"Excellent"
"X100hr_loading_Mgha","lnormLL",765,0.09,1.354,0.034,0.025,0.939,0.024,0.026,0,0.005,"Good"
"fwd_loading_summed_Mgha","gammaLL",641,0,1.422,0.071,0.05,0.203,0.012,0.06,0.163,0.004,"Excellent"
"fwd_loading_entered_Mgha","gammaLL",291,0,1.861,0.143,0.077,0.308,0.027,0.088,0.158,0.011,"Excellent"
"fwd_loading_Mgha","gammaLL",641,0,1.422,0.072,0.051,0.203,0.012,0.061,0.166,0.004,"Excellent"
"X1000hrS_loading_Mgha","gammaLL",234,0.186,1.125,0.095,0.085,0.073,0.008,0.107,0.315,0.007,"Excellent"
"X1000hrR_loading_Mgha","lnormLL",132,0.541,1.531,0.105,0.068,1.199,0.074,0.062,0.08,0.008,"Good"
"X1000hr_loading_summed_Mgha","gammaLL",247,0.138,1.141,0.093,0.081,0.06,0.006,0.101,0.91,0.006,"Excellent"
"X1000hr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_Mgha","gammaLL",257,0.133,1.124,0.088,0.078,0.06,0.006,0.099,0.627,0.006,"Excellent"
"X10KhrS_loading_Mgha","lnormLL",93,0.61,2.373,0.073,0.031,0.704,0.052,0.074,0.183,0.013,"Good"
"X10KhrR_loading_Mgha","lnormLL",49,0.793,2.217,0.115,0.052,0.809,0.08,0.099,0.106,0.02,"Good"
"X10Khr_loading_summed_Mgha","lnormLL",125,0.48,2.505,0.069,0.028,0.775,0.049,0.063,0.362,0.004,"Good"
"X10Khr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_Mgha","lnormLL",134,0.465,2.431,0.071,0.029,0.833,0.051,0.061,0.643,0.007,"Good"
"GT10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_sound_loading_Mgha","lnormLL",506,0.204,1.434,0.068,0.047,1.497,0.047,0.032,0,0.009,"Good"
"cwd_rotten_loading_Mgha","gammaLL",433,0.314,0.91,0.055,0.06,0.067,0.005,0.078,0.001,0.018,"Good"
"cwd_loading_summedByPieceSizeClass_Mgha","gammaLL",209,0.146,1.052,0.093,0.089,0.037,0.004,0.113,0.909,0.006,"Excellent"
"cwd_loading_summedBySR_Mgha","gammaLL",584,0.091,0.938,0.048,0.051,0.041,0.003,0.067,0.577,0.008,"Excellent"
"cwd_loading_entered_Mgha","gammaLL",611,0.082,1.031,0.052,0.051,0.043,0.003,0.065,0.472,0.003,"Excellent"
"cwd_loading_Mgha","gammaLL",732,0.087,1.015,0.046,0.046,0.042,0.002,0.059,0.663,0.005,"Excellent"
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_cm","gammaLL",162,0.024,2.727,0.305,0.112,2.345,0.287,0.122,0.037,0.014,"Good"
"litter_loading_Mgha","gammaLL",305,0.003,2.223,0.171,0.077,0.405,0.035,0.087,0.771,0.01,"Excellent"
"duff_depth_cm","gammaLL",164,0.035,2.712,0.294,0.108,1.269,0.152,0.12,0.621,0.012,"Excellent"
"duff_loading_Mgha","gammaLL",292,0.027,1.464,0.112,0.077,0.069,0.006,0.09,0.616,0.009,"Excellent"
